	item_name	item_url	item_phones_list	item_address	item_site
0	Стоматологический центр Лев	https://khabarovsk.zoon.ru/medical/stomatologicheskij_tsentr_lev/	['+79241193968']	Хабаровск,   улица Льва Толстого,   15, 1 помещение	https://med-lev.ru/?token=20230731142536AcTq
1	Стоматология All Dent	https://khabarovsk.zoon.ru/medical/stomatologiya_all_dent/	['+79144201403']	Хабаровск,   улица Пушкина,   50, 1 этаж	https://all-dent-med.ru/?token=20230731142539NIvi
2	Стоматология МилаСтом	https://khabarovsk.zoon.ru/medical/stomatologiya_milastom_na_ulitse_lva_tolstogo/	['+79144200847']	Хабаровск,   улица Льва Толстого,   12, 11 этаж	https://milastom-med.ru/?token=2023073114254346WS
3	Стоматологический центр МедстоМ	https://khabarovsk.zoon.ru/medical/stomatologicheskij_tsentr_medstom_na_ussurijskom_bulvare/	['+79144202835']	Хабаровск,   Уссурийский бульвар,   20	https://medstom-med.ru/?token=20230731142547Vm79
4	Стоматологический центр АйдентАс	https://khabarovsk.zoon.ru/medical/stomatologicheskij_tsentr_ajdentas/	['+79144201027']	Хабаровск,   Большая улица,   9, 1 этаж	
5	Стоматологический центр Аюрдент	https://khabarovsk.zoon.ru/medical/stomatologicheskij_tsentr_ayurdent/	['+79145410993']	Хабаровск,   Войкова,   20, 1 офис; 1 этаж	https://ayurdent.ru/?token=20230731142558up3H
6	Стоматологическая клиника Эстомика	https://khabarovsk.zoon.ru/medical/stomatologicheskaya_klinika_estomika/	['+79635627673']	Хабаровск,   улица Запарина,   117Б	
7	Клиника эстетической стоматологии и имплантации ОСКАРМЕД	https://khabarovsk.zoon.ru/medical/klinika_esteticheskoj_stomatologii_i_implantatsii_oskarmed_na_sovetskoj_ulitse/	['+79625852856']	Хабаровск,   улица Советская,   32	
8	Детская поликлиника Тари Лэнд	https://khabarovsk.zoon.ru/medical/detskaya_poliklinika_tari_lend_v_zheleznodorozhnom_rajone/	['+79241012047']	Хабаровск,   улица Ким Ю Чена,   44 лит М	
9	Медицинский центр Астра-мед	https://khabarovsk.zoon.ru/medical/meditsinskij_tsentr_astra-med/	['+79241005402']	Хабаровск,   улица Дзержинского,   52, 2 этаж	
10	Стоматологический центр Зубная Фея	https://khabarovsk.zoon.ru/medical/stomatologicheskij_tsentr_zubnaya_feya_na_volochaevskoj_ulitse/	['+79625011030', '+74212640340', '+74212767037']	Хабаровск,   Волочаевская улица,   183, 1 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fzf27.ru%2F&hash=e05685004dadb5f02e10d015b1919835&from=54667ad240c088ea5a8ed97a.2e63&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskij_tsentr_zubnaya_feya_na_volochaevskoj_ulitse%2F
