	item_name	item_url	item_phones_list	item_address	item_site
0	Стоматологическая клиника Гармония	https://vladivostok.zoon.ru/medical/stomatologicheskaya_klinika_garmoniya_na_pechorskoj_ulitse/	['+79149605105']	Владивосток,   Печорская,   8а	https://medical-garmoniya.ru/?token=20230731053408a0xX
1	Клиника Аврора	https://vladivostok.zoon.ru/medical/klinika_avrora_vo_frunzenskom_rajone/	['+79147012308']	Владивосток,   Авроровская,   17, 1 этаж	https://med-avrora.obiz.ru/?token=20230731053411SPqY
2	Стоматологическая клиника Гарант	https://vladivostok.zoon.ru/medical/stomatologicheskaya_klinika_garant_na_ulitse_kirova/	['+79147011630']	Владивосток,   Кирова,   45, 1 этаж	https://vladivostok.zoon.ru/redirect/?to=http%3A%2F%2Fmoigarant.ru&hash=ae784254a0be5d94f05042776fc9b34f&from=546672f340c088f15a8df19b.4954&ext_site=ext_site&backurl=https%3A%2F%2Fvladivostok.zoon.ru%2Fmedical%2Fstomatologicheskaya_klinika_garant_na_ulitse_kirova%2F
3	Стоматологический центр Elistratov Dental Group	https://vladivostok.zoon.ru/medical/stomatologicheskij_tsentr_elistratov_dental_group_na_ulitse_stanyukovicha/	['+79147014288']	Владивосток,   улица Станюковича,   3, 2 этаж	https://elistratov-dental-group-med.ru/?token=20230731053420Gc4u
4	Семейная стоматология Дентал Эффект	https://vladivostok.zoon.ru/medical/semejnaya_stomatologiya_dental_effekt_na_okeanskom_prospekte/	['+79147011973']	Владивосток,   Океанский проспект,   74А, 1 этаж	https://dental-effekt.ru/?token=20230731053426WqsQ
5	Стоматологическая клиника Мята	https://vladivostok.zoon.ru/medical/stomatologicheskaya_klinika_myata/	['+79147012526']	Приморский край, Находка,    Находкинский проспект,    5Д, 1 этаж	https://med-myata.ru/?token=20230731053431V6sX
6	Стоматологическая клиника Тридент	https://vladivostok.zoon.ru/medical/stomatologicheskaya_klinika_trident/	['+79147011506']	Владивосток,   ул. Калинина,   д. 283-А, 1 этаж	https://trident-med.ru/?token=20230731053434tY6o
7	Стоматология Конкордия	https://vladivostok.zoon.ru/medical/stomatologiya_konkordiya/	['+79147010978']	Владивосток,   улица Станюковича,   49, 1 этаж	https://konkordiya-med.ru/?token=202307310534374nHW
8	Стоматологическая клиника Тридент плюс	https://vladivostok.zoon.ru/medical/stomatologicheskaya_klinika_trident_plyus_na_cheryomuhovoj_ulitse/	['+79147011398']	Владивосток,   Черёмуховая улица,   22, 1 этаж	https://trident-plyus.ru/?token=20230731053442V2WW
9	Стоматологический центр Мила дент	https://vladivostok.zoon.ru/medical/stomatologicheskij_tsentr_mila_dent_na_ulitse_fadeeva/	['+74232009907', '+79247309907']	Владивосток,   улица Фадеева,   14, 1 этаж	https://vladivostok.zoon.ru/redirect/?to=http%3A%2F%2Fmiladentvl.ru%2F&hash=aa619ae2fe5685e5d939d04953d70c94&from=5567007a40c0886e4c8c8443.d1bd&ext_site=ext_site&backurl=https%3A%2F%2Fvladivostok.zoon.ru%2Fmedical%2Fstomatologicheskij_tsentr_mila_dent_na_ulitse_fadeeva%2F
