	item_name	item_url	item_email	item_phone	item_address	item_site
0	Ваши зубы	https://www.dvhab.ru/vashi-zuby	vashizub@yandex.ru	['+7 (4212) 30-08-53', '+7 (4212) 68-65-65']	"['район ""Центральный"", ул. Волочаевская, 161']"	http://ваши-зубы.рф
1	Медстом	https://www.dvhab.ru/medstom	medstom.dv@gmail.com	['+7 (4212) 29-40-49', '+7 924 920-27-99', '+7 964 233-76-99']	"['район ""Центральный"", б-р Уссурийский, 20']"	http://medstom27.ru
2	Body Cola	https://www.dvhab.ru/body-cola-centr-krasoty-i-zdorovya	bodycola@mail.ru	['+7 (4212) 26-01-38']	"['район ""Центральный"", ул. Тургенева, 34']"	https://bodycola.ru
3	AllDent	https://www.dvhab.ru/all-dent	alldent18@mail.ru	['+7 (4212) 90-00-28 , администратор', '+7 924 408-00-28 , администратор', '+7 924 108-19-67 , главный врач']	"['район ""Центральный"", ул. Пушкина, 50']"	http://www.alldentkhv.ru
4	Все Свои рядом	https://www.dvhab.ru/vse-svoi-hab	244797stom@mail.ru	['+7 (4212) 26-04-98']	"['район ""Центральный"", ул. Лейтенанта Орлова С.В, 2']"	
5	Лев	https://www.dvhab.ru/ooo-lev	lev_stom@bk.ru	['+7 (4212) 35-85-29', '+7 924 106-85-29']	"['район ""Центральный"", ул. Льва Толстого, 15']"	http://levstom.ru
6	Бобёр	https://www.dvhab.ru/stomatologiya-bober	bober.stomatologiya@bk.ru	['+7 (4212) 31-99-91', '+7 924 316-99-91']	"['район ""Индустриальный"", ул. Краснореченская, 73']"	https://bober-stom.ru
7	Арт Стом	https://www.dvhab.ru/artstom	art-stom@bk.ru	['+7 (4212) 46-70-91', '+7 (4212) 46-49-49']	"['район ""Центральный"", ул. Гоголя, 39']"	http://artstomdv.ru
8	Дентал Платинум	https://www.dvhab.ru/dental-platinum	dental.platinum@yandex.ru	['+7 (4212) 61-45-62']	"['район ""Кировский"", ул. Металлистов, 1А']"	http://dentalplatinum.ru
9	Эстетика	https://www.dvhab.ru/estetika	info@esteticadent.ru	['+7 (4212) 55-66-18']	"['район ""Индустриальный"", ул. Морозова Павла Леонтьевича, 89']"	http://www.esteticadent.ru
10	Региостом	https://www.dvhab.ru/regiostom		['+7 (4212) 42-25-52', '+7 962 151-24-50', '+7 (4212) 63-04-33']	"['район ""Краснофлотский"", ул. Руднева, 39']"	http://regiostom.ru
11	Поликлиника №101	https://www.dvhab.ru/poliklinika-nomer-101	74-64-44@mail.ru	['+7 914 178-71-16', '+7 (4212) 74-64-44 , стоматология', '+7 (4212) 75-90-10 , центр восстановительной медицины']	"['район ""Железнодорожный"", ул. Карла Маркса, 158Б']"	
12	Доктор Ковальский	https://www.dvhab.ru/doktor-kovalskii	dr.kovalskii@yandex.ru	['+7 (4212) 70-27-27', '+7 914 170-27-27']	"['район ""Кировский"", ул. Брестская, 22']"	https://www.kovalskii.dental
13	Дент Восток	https://www.dvhab.ru/dent-vostok		['+7 (4212) 54-68-42']	"['район ""Индустриальный"", ул. Прогрессивная, 11']"	
14	Уни-Стом	https://www.dvhab.ru/unistom	unistom@mail.fesmu.ru	['+7 (4212) 30-58-17 , гл. врач', '+7 (4212) 32-64-92 , приёмная', '+7 (4212) 32-46-15 , регистратура']	"['район ""Центральный"", ул. Муравьёва-Амурского, 30']"	http://унистом.рф
15	Эстомика	https://www.dvhab.ru/estomica	estomica27@gmail.com	['+7 (4212) 78-99-94', '+7 (4212) 78-97-83']	"['район ""Кировский"", ул. Запарина, 117Б']"	https://эстомика.рф
16	Мастер-Дент	https://www.dvhab.ru/master-dent-hab		['+7 (4212) 32-66-37']	"['район ""Центральный"", б-р Амурский, 38']"	
17	Палитра ДВ	https://www.dvhab.ru/palitra-dv	ztlkhw@gmail.com	['+7 (4212) 63-60-18', '+7 (4212) 63-06-40']	"['район ""Индустриальный"", ул. Павловича, 5/3']"	
