	item_name	item_url	item_email	item_phone	item_address	item_site
0	Мила Дент	https://www.vl.ru/miladentvl	miladentstom@mail.ru	['+7 (423) 200-99-07']	"['район ""Фадеева"", ул. Фадеева, 14']"	http://www.miladentvl.ru
1	Доктор Стом	https://www.vl.ru/doktor-stom-vl	doctorstom_vl@mail.ru	['+7 914 666-90-40', '+7 (423) 205-37-40']	"['район ""Столетие"", пр-т 100-летия Владивостока, 31']"	http://www.doctorstomvl.ru
2	Дентал Эффект	https://www.vl.ru/dental-effekt	stoma_dental@mail.ru	['+7 902 067-62-52']	"['район ""Первая речка"", пр-т Океанский, 74А']"	http://www.dental-effect.ru
3	Лайф	https://www.vl.ru/stom-lajf-ooo-lajf-detsk2	stomlife@bk.ru	['+7 (423) 266-94-94']	"['район ""Столетие"", пр-т 100-летия Владивостока, 20']"	
4	Клиника Современной Стоматологии	https://www.vl.ru/klinika-sovremennoj-stomatologii	modernstomvl@gmail.com	['+7 (423) 206-00-17', '+7 (423) 205-36-25', '+7 984 195-36-25']	"['район ""Вторая речка"", ул. Енисейская, 7/1']"	http://www.stom25.ru
5	Центр профессиональной стоматологии	https://www.vl.ru/centr-professionalnoj-stomatologi	centrstomvl@gmail.com	['+7 (423) 206-03-29', '+7 (423) 280-08-88']	"['район ""Некрасовская"", ул. Гоголя, 30']"	https://centre-profstom.ru
6	Кедр	https://www.vl.ru/kedr-stomatologicheskaya-klinika	kedrstom@mail.ru	['+7 (423) 260-54-40', '+7 (423) 273-34-35', '+7 914 703-34-35']	"['район ""Эгершельд"", ул. Верхнепортовая, 9']"	https://www.kedrstom.ru
7	Кристалл	https://www.vl.ru/kristall-stomatologiya	st_kristall@mail.ru	['+7 (423) 279-04-24', '+7 (423) 279-04-54']	"['район ""Вторая речка"", ул. Кирова, 25А', 'район ""Вторая речка"", ул. Кирова, 21В']"	http://кристалл25.рф
8	Дубровский	https://www.vl.ru/dubrovskij	alfa-ctom@mail.ru	['+7 914 707-16-88', '+7 (423) 277-16-88']	"['район ""Тихая"", ул. Сахалинская, 11']"	https://dubrovskii.pro
9	Доктор Ничман Е. Н.	https://www.vl.ru/doktor-nichman-e.n	siniza01@mail.ru	['+7 924 731-39-95', '+7 (423) 201-39-95']	"['район ""Вторая речка"", ул. Давыдова, 22А']"	http://cosmedentdv.ru
10	Сали-ота	https://www.vl.ru/sali-ota-ooo-stomatologicheskij-komplex	sali-ota@mail.ru	['+7 908 448-51-06', '+7 (423) 258-51-06', '+7 (423) 229-71-34']	"['район ""Луговая"", ул. Спортивная, 2']"	
11	DV-Dent	https://www.vl.ru/dv-dent	2806809@mail.ru	['+7 (423) 280-68-09', '+7 (423) 220-00-52']	"['район ""Третья рабочая"", ул. Жигура, 26']"	http://дв-дент.рф
12	Экспресс Имплантация	https://www.vl.ru/express-implantaciya	express-implant@yandex.ru	['+7 (423) 239-37-37', '+7 962 333-48-58', '+7 994 021-65-51']	"['район ""Луговая"", ул. Горийская, 15', 'район ""Столетие"", пр-т 100-летия Владивостока, 40', 'район ""Центр"", ул. Алеутская, 45']"	https://экспрессимплантация.рф
13	Korea medcenter	https://www.vl.ru/korea-med	koreanmedicine@mail.ru	['+7 (423) 280-20-63', '+7 (423) 222-30-80', '+7 994 108-75-75']	"['район ""Толстого (Буссе)"", пр-т Красного Знамени, 94']"	http://koreamedcenter.ru
14	Аквамарин Дент	https://www.vl.ru/www.akvamarindent.ru	akvamarin-dent@inbox.ru	['+7 (423) 280-83-03']	"['район ""БАМ"", ул. Ульяновская, 7']"	http://akvamarin-dent.ru
15	Smile	https://www.vl.ru/smajl-l-ooo1	smilekompany@mail.ru	['+7 (423) 251-05-09', '+7 (423) 241-11-52', '+7 (423) 253-78-87 , детское отделение', '+7 (423) 232-05-51', '+7 (423) 294-45-90']	"['район ""Эгершельд"", ул. Бестужева, 15', 'район ""Вторая речка"", пр-т 100-летия Владивостока, 100']"	http://www.smile-vl.ru
16	Приоритет	https://www.vl.ru/prioritetstom	prioritetvl@mail.ru	['+7 (423) 279-05-22', '+7 914 333-01-02']	"['район ""Чуркин"", ул. Калинина, 295']"	https://www.prioritetvl.ru
17	Никодент	https://www.vl.ru/nikodent-ooo	info@nikodent.ru	['+7 (423) 226-70-00', '+7 (423) 226-57-27']	"['район ""Центр"", ул. Пушкинская, 109']"	http://www.nikodent.ru
18	Мой стоматолог	https://www.vl.ru/moi-stomatolog	2273770@mail.ru	['+7 (423) 227-37-70']	"['район ""Чуркин"", ул. Окатовая, 1']"	http://мой-стом.com
19	Тридент Плюс	https://www.vl.ru/trident-plyus	trident_plus@mail.ru	['+7 (423) 227-07-01', '+7 994 006-65-97']	"['район ""Чуркин"", ул. Черемуховая, 22']"	
20	А-Стом	https://www.vl.ru/a-stom-vl	a_stom@inbox.ru	['+7 (423) 295-72-95']	"['район ""Центр"", ул. Авроровская, 24']"	https://a-stomvld.ru
21	Гарант	https://www.vl.ru/garant-stom	mn240582@yandex.ru	['+7 (423) 253-18-81', '+7 (423) 293-14-41', '+7 902 485-92-07']	"['район ""Вторая речка"", ул. Кирова, 45']"	http://www.moigarant.ru
22	Мастер Дент+	https://www.vl.ru/master-dentplus		['+7 908 440-26-95, для пациентов с острой болью в ночное время', '+7 908 443-89-12, для пациентов с острой болью', '+7 (423) 293-19-99', '+7 (423) 250-26-95']	"['район ""64, 71 микрорайоны"", ул. Нейбута, 47', 'район ""Баляева"", ул. Котельникова, 13']"	
23	Эстелайф	https://www.vl.ru/estelajf	estelaif@yandex.ru	['+7 952 080-49-72', '+7 914 704-13-00']	"['район ""Первая речка"", пр-т Острякова, 9А']"	
24	Альбеа-Дент	https://www.vl.ru/albea-dent	albea-dent@mail.ru	['+7 (423) 200-84-11', '+7 (423) 269-55-49']	"['район ""Чуркин"", ул. Окатовая, 60']"	
25	Алико	https://www.vl.ru/aliko		['+7 950 295-53-54']	"['район ""Некрасовская"", ул. Круговая 2-я, 12']"	
26	Клиника доктора Кремешного	https://www.vl.ru/klinika-doktora-kremeshnogo	kdk.dental@yandex.ru	['+7 999 444-97-18', '+7 (423) 279-03-44']	"['район ""Центр"", ул. Пологая, 53А']"	http://kdk.dental
27	Кристалл	https://www.vl.ru/zubotehnicheskaya-laboratoriya-kristall	kristall_labo@mail.ru	['+7 908 446-92-82']	"['район ""Вторая речка"", ул. Кирова, 25В']"	
28	Лаура Плюс	https://www.vl.ru/laura-plyus		['+7 (423) 273-17-43', '+7 (423) 244-04-94']	"['район ""Баляева"", ул. Адмирала Юмашева, 14А']"	
29	Диадент	https://www.vl.ru/diadent	avaleria1973@yandex.ru	['+7 994 004-20-04']	"['район ""Центр"", ул. Пологая, 54А']"	https://diadentvl.ru
30	Дентлор	https://www.vl.ru/dentlor-ooo-prometej-medicinskij-centr	dentlor@mail.ru	['+7 (423) 260-57-04', '+7 (423) 259-61-14', '+7 908 449-61-14']	"['район ""Чуркин"", ул. Калинина, 133']"	http://www.dentlor.ru
31	Дентал-Авеню Плюс	https://www.vl.ru/dental-avenyu	floriz@yandex.ru	['+7 (423) 226-60-65']	"['район ""Первая речка"", пр-т Океанский, 90']"	
32	Медис	https://www.vl.ru/medis	medisdent@gmail.com	['+7 (423) 267-30-00']	"['район ""Столетие"", ул. Днепровская, 36']"	http://medisdent.ru
